Cesk,Commodity,Trader Name,Trader Email,CQuantity
C-4348,Soybean Oil,Bernice Miller,dih@musizheb.ao,"9,127"
C-841,Adzuki bean,Virginia Dawson,fehujav@owihu.nz,"26,977"
C-3876,Coffee C,Aaron Duncan,mivondi@ri.fm,"77,894"
C-6656,Frozen Concentrated Orange Juice,Minerva Burgess,jozwu@gukbe.om,"88,803"
C-1823,Rough Rice,William Allison,abikaih@gap.cc,"19,919"
C-8081,Soybeans,Jacob Washington,heaze@okatu.tm,"37,491"
C-1099,Soybeans,Chris Wolfe,oruzaplud@fav.gn,"85,289"
C-9730,Cotton No.2,Lois Armstrong,aja@ba.bw,"50,381"
C-4358,Cotton No.2,Herman Curry,joilaje@ifu.kh,"42,471"
C-1670,Corn,Tom Floyd,bo@kaplu.lu,"82,596"
C-5629,Coffee C,Carl Ballard,fib@maz.rs,"92,427"
C-6117,Wheat,Mollie Larson,se@bi.gp,"32,125"
C-5510,Soybeans,Luis Barker,viiv@cehecnaw.sk,"86,239"
C-6362,Adzuki bean,Evan Freeman,ataew@ohuh.bt,"4,286"
C-8614,Robusta coffee,Alma Ramsey,je@ke.fr,"97,941"
C-8044,Soybean Oil,Norman Campbell,tuha@ecoko.jm,"51,302"
C-3837,Wheat,Danny Graves,ugarus@fa.uz,"35,917"
C-6462,Sugar No.14,Amanda Weber,suuj@piagehip.cf,"83,032"
C-5361,Cotton No.2,Travis Manning,cewgate@calzik.gg,"43,748"
C-4072,Sugar No.14,Micheal Lamb,piicoro@ziutiaz.om,"78,488"
C-7185,Soybean Oil,Leroy Burns,ezta@bal.tp,"41,709"
C-4394,Frozen Concentrated Orange Juice,Warren Baldwin,umeojhol@semorewos.ni,"51,450"
C-3385,Wheat,Dustin Patton,uk@vumgu.tn,"8,088"
C-6955,Sugar No.11,Alma Lamb,laec@uriggec.tw,"70,013"
C-8388,Soybeans,Ivan Hoffman,gosojve@bodiz.bw,"6,850"
C-186,Soybean Meal,Bryan Wells,map@wonizzo.nf,"41,748"
C-9429,Oats,Carl Shelton,pu@nakzepok.pe,"56,638"
C-5953,Sugar No.11,Rose Lawson,tu@cosuvpu.edu,"64,915"
C-8769,Cotton No.2,Alvin Mack,lapoji@igiifzot.tw,"76,755"
C-9351,Milk,Bryan Richardson,jikiage@nutgal.bg,"44,114"
C-9354,Frozen Concentrated Orange Juice,Isabelle Howard,iceegpic@nadpovse.nr,"79,379"
C-1541,Soybean Oil,Marvin McBride,ifakiczi@ibsu.vc,"83,982"
C-8543,Sugar No.11,William James,wakwuwo@gef.bw,"30,858"
C-6636,Soybeans,Carrie Tate,ewizimlib@tavi.am,"70,538"
C-7633,Rapeseed,Hilda Reed,sis@du.ga,"11,949"
C-3233,Milk,Rachel Jenkins,wesjut@leitsi.bn,"22,750"
