BDesk,Commodity,Trader Name,Trader Email,BQuantity
B-425,Soybean Meal,Samuel Cummings,duwsih@laf.mo,"91,714"
B-7949,Coffee C,Allen Ortiz,keilu@dukmobej.si,"57,450"
B-9545,Cotton No.2,Joseph Henry,uzasis@ne.sk,"35,551"
B-6823,Sugar No.14,Lena Howard,waki@pavpo.pt,"27,809"
B-3674,Coffee C,Georgia Goodman,peeci@ta.mm,"3,306"
B-2209,Cotton No.2,Cecelia Reid,miotco@gugusi.ki,"53,896"
B-82,Adzuki bean,Lora Gordon,bedanpal@kugidi.dj,"53,124"
B-6183,Milk,Hilda Kelley,siltaptih@fuldek.ar,"16,998"
B-641,Robusta coffee,Viola Morales,zap@zeleto.mq,"90,209"
B-5087,Sugar No.11,Glen Flowers,tol@githo.cr,"24,799"
B-3226,Corn,Sara Cross,lalovalu@vufarila.cz,"70,033"
B-5429,Frozen Concentrated Orange Juice,Jerome Larson,fusworca@wubudibe.tz,"59,311"
B-8118,Sugar No.11,Bill Oliver,owi@tueg.sr,"41,917"
B-8031,Soybeans,Devin Vega,pi@agsuj.mx,"71,043"
B-6490,Frozen Concentrated Orange Juice,Brett Clayton,heljeapo@be.bn,"22,790"
B-2211,Cocoa,Lloyd Colon,naj@edimik.tk,"91,942"
B-4318,Rapeseed,Lillie Long,jarhud@cebgeb.pa,"12,355"
B-9570,Rough Rice,Daisy Mills,tar@utom.ws,"25,294"
B-4946,Soybean Oil,Jose Brown,ge@ninosho.ad,"27,957"
B-5582,Coffee C,Belle Obrien,cud@obijome.si,"87,606"
B-5894,Robusta coffee,Ida Holloway,pi@kil.ca,"91,774"
B-2522,Rapeseed,Derek Vargas,amjuzir@wuznavpum.uy,"55,440"
B-1016,Wheat,Troy Wilson,ni@utuja.cv,"64,786"
B-3357,Cocoa,Ernest Douglas,raluboc@vevuba.bb,"10,038"
B-1191,Sugar No.14,Jon French,cetme@di.gr,"66,291"
B-4442,Adzuki bean,Beatrice Wood,boziwa@ravbaguv.gt,"10,919"
B-5450,Wheat,Paul Lucas,nilufhip@letzuz.pm,"94,318"
