ADesk,Commodity,Trader Name,Trader Email,AQuantity
A-425,Soybean Meal,Samuel Cummings,duwsih@laf.mo,"91,714"
A-7949,Coffee C,Allen Ortiz,keilu@dukmobej.si,"57,450"
A-9545,Cotton No.2,Joseph Henry,uzasis@ne.sk,"35,551"
A-6823,Sugar No.14,Lena Howard,waki@pavpo.pt,"27,809"
A-3674,Coffee C,Georgia Goodman,peeci@ta.mm,"3,306"
A-2209,Cotton No.2,Cecelia Reid,miotco@gugusi.ki,"53,896"
A-82,Adzuki bean,Lora Gordon,bedanpal@kugidi.dj,"53,124"
A-6183,Milk,Hilda Kelley,siltaptih@fuldek.ar,"16,998"
A-641,Robusta coffee,Viola Morales,zap@zeleto.mq,"90,209"
A-5087,Sugar No.11,Glen Flowers,tol@githo.cr,"24,799"
A-3226,Corn,Sara Cross,lalovalu@vufarila.cz,"70,033"
A-5429,Frozen Concentrated Orange Juice,Jerome Larson,fusworca@wubudibe.tz,"59,311"
A-8118,Sugar No.11,Bill Oliver,owi@tueg.sr,"41,917"
A-8031,Soybeans,Devin Vega,pi@agsuj.mx,"71,043"
A-6490,Frozen Concentrated Orange Juice,Brett Clayton,heljeapo@be.bn,"22,790"
A-2211,Cocoa,Lloyd Colon,naj@edimik.tk,"91,942"
A-4318,Rapeseed,Lillie Long,jarhud@cebgeb.pa,"12,355"
A-9570,Rough Rice,Daisy Mills,tar@utom.ws,"25,294"
A-4946,Soybean Oil,Jose Brown,ge@ninosho.ad,"27,957"
A-5582,Coffee C,Belle Obrien,cud@obijome.si,"87,606"
A-5894,Robusta coffee,Ida Holloway,pi@kil.ca,"91,774"
A-2522,Rapeseed,Derek Vargas,amjuzir@wuznavpum.uy,"55,440"
A-1016,Wheat,Troy Wilson,ni@utuja.cv,"64,786"
A-3357,Cocoa,Ernest Douglas,raluboc@vevuba.bb,"10,038"
A-1191,Sugar No.14,Jon French,cetme@di.gr,"66,291"
A-4442,Adzuki bean,Beatrice Wood,boziwa@ravbaguv.gt,"10,919"
A-5450,Wheat,Paul Lucas,nilufhip@letzuz.pm,"94,318"
A-7124,Soybeans,Marc Holmes,izo@no.sx,"28,641"
A-3925,Frozen Concentrated Orange Juice,Roger Ortega,iziuto@mawad.eu,"56,212"
A-8685,Soybean Meal,Lou Mendez,uhcahpak@ehobotciw.jm,"1,831"
A-8905,Frozen Concentrated Orange Juice,Edward Fowler,hubedvog@ragu.it,"55,420"
A-5170,Frozen Concentrated Orange Juice,Devin Hughes,sukfun@okuusu.im,"15,434"
A-6196,Coffee C,Lois Jacobs,otsikda@fecum.ag,"86,814"
A-3125,Cocoa,Mario Graves,pavza@ebi.nz,"11,375"
A-6254,Rough Rice,Warren Baldwin,eta@nu.co,"4,474"
A-4181,Oats,Claudia Adkins,zirlatwek@bukve.as,"62,212"
A-8258,Cocoa,Luella Valdez,alo@bukse.cc,"92,724"
A-6618,Milk,Bettie Allison,ti@so.gt,"70,013"
A-5967,Milk,Matilda Griffith,gafbu@zigru.mn,"8,256"
A-9139,Cocoa,Christopher Burke,cowazzeg@etvor.edu,"60,945"
A-286,Cocoa,Danny Terry,poflenno@owir.md,"42,441"
A-2631,Corn,Tony Chandler,wonruniv@tijpilili.ly,"43,243"
A-8322,Wheat,Bobby Pearson,ki@musgivhej.kr,"28,858"
A-193,Corn,Larry Lopez,sukfuza@halirihi.tj,"70,874"
A-6829,Soybean Oil,Mayme McBride,ojibuw@og.ax,"84,744"
A-8141,Sugar No.11,Eliza Kennedy,uv@fahlenu.gw,"63,628"
A-6866,Sugar No.11,Mark Lindsey,kipurok@jugowi.aq,"83,863"
A-6457,Sugar No.14,Effie Chapman,ewne@ca.th,"8,553"
A-5898,Rapeseed,Kenneth Steele,bu@tam.nu,"58,905"
A-4939,Frozen Concentrated Orange Juice,Clifford Marshall,mogig@zawgodu.fo,"95,753"
A-5037,Sugar No.14,Ronald Stokes,rurja@upiwadov.tl,"23,938"
A-4899,Adzuki bean,Ricky Love,fufig@wowilu.uk,"37,976"
A-9464,Adzuki bean,Robert Mills,ur@doavopak.bo,"71,845"
A-6940,Soybean Oil,Scott Reed,zavo@ji.ck,"76,626"
A-6488,Sugar No.11,Albert Knight,imamu@rihoc.gq,"29,829"
A-9032,Rough Rice,Dennis Frazier,lowi@nu.co,"10,919"
A-2039,Soybeans,Marion McCoy,ef@upo.nz,"22,572"
A-8131,Rapeseed,Stanley Banks,tu@sozilucuw.vc,"32,937"
A-6262,Robusta coffee,Alvin Blair,pujejdap@libji.st,"35,224"
A-4014,Sugar No.11,Cora Roy,ivocudces@daful.gf,"46,847"
A-7262,Frozen Concentrated Orange Juice,Adelaide Aguilar,uzi@uke.dm,"61,143"
A-2764,Corn,Gabriel Lewis,voukekam@foj.kg,"46,708"
A-6736,Robusta coffee,Jeremy Reese,culep@etpale.cz,"13,880"
A-1624,Soybeans,Irene Stewart,ipu@cidaze.om,"40,313"
A-8560,Soybeans,Lois Poole,nubrev@zebuc.pr,"7,276"
A-9683,Soybeans,Dale Cain,vi@vekat.ag,"28,571"
A-3347,Frozen Concentrated Orange Juice,Travis Santos,cof@ugagoka.co.uk,"17,543"
A-7981,Soybean Meal,Marian Barker,kuswuvo@itlah.et,"65,340"
A-6924,Robusta coffee,Lottie Cummings,diip@susnuk.jp,"93,833"
A-6922,Milk,Tom Harmon,ifevunvo@vovti.dm,"61,143"
A-8805,Soybean Oil,Clarence Fitzgerald,ha@dunkuaga.ci,"46,094"
A-9480,Coffee C,Ronnie West,kizij@jeb.bo,"34,254"
A-3521,Soybeans,Christopher Kelly,gepi@bep.nz,"73,231"
A-5815,Soybean Oil,Betty Perez,ho@awu.mo,"30,145"
A-5813,Sugar No.14,Jack Welch,coc@newebde.su,"57,796"
A-2674,Rapeseed,Julian Ingram,togfof@fehsit.dm,"78,844"
